Word|Kimchi Rank|TOPIK POS|TOPIK Definition|TOPIK Level|Yonsei Book
수요일|6035|명|水曜日|A|1-1.csv
가장1|80|부||A|
여러|58440|관||A|
여기1|57405|대||A|1-1.csv
아직1|81|부||A|1-1.csv
하나|646|수||A|
인분80|81514|의|人分. 3~|B|1-1.csv
시작하다1|82|동|始作-|A|2-1.csv
버리다1|658|보||A|2-1.csv
의사2|503|명|意思|C|1-1.csv
웃음|84|명||B|
위1|115|명|~아래|A|1-1.csv
왔습니다|||||1-1.csv
계속4|85|부|繼續|A|2-1.csv
운동2|390|명|運動|A|1-1.csv
시6|125|명|市|A|1-1.csv
넣다|87|동||A|2-1.csv
퍼센트|1885|의|percent|A|
가방1|625|명|~을 메다|A|1-1.csv
형1|88|명|兄|A|1-1.csv
학교|155|명|學校|A|
번4|274|의|番|A|1-1.csv
상황2|89|명|狀況|C|3-1.csv
들다4||동|꽃을 ~|A|
베트남|2109||||1-1.csv
잘하다|90|동||A|1-1.csv
바로2|14315|부||A|2-1.csv
탁구장|30730||||1-1.csv
경우3|92|명|境遇|B|
어느1|197|관||A|1-1.csv
의자3|972|명|椅子|A|1-1.csv
그때|93|명||A|
그래서|87633|부||A|1-1.csv
무엇|241|대||A|1-1.csv
미국|94|고|美國|A|1-1.csv
모든|55147|관||A|
요리5|797|명|料理|A|1-1.csv
라|95||||
돈1|157|명||A|
학생회관|||||1-1.csv
음악1|96|명|音樂|A|1-1.csv
그런데|40388|부||A|
호선80|8881|의|號線. 1~|B|1-1.csv
아주1|97|부||A|1-1.csv
날1|272|명|어느 ~|A|
찜질방|7636||||1-1.csv
모습1|98|명||B|
모두1|450|부||A|1-1.csv
피자|3593|명|&이pizza|A|1-1.csv
몇|99|관||A|1-1.csv
후8|232|명|後|A|2-1.csv
콘서트|1557|명|concert|B|1-1.csv
딱2|100|부|멎는 모양|C|
놓다1|350|보||A|2-1.csv
쇼핑하다|7337||||1-1.csv
먼저|101|부||A|1-1.csv
아버지|164|명||A|1-1.csv
가수11|2272|명|歌手|A|1-1.csv
대통령|102|명|大統領|B|
남자2|273|명|男子|A|1-1.csv
불다1|2178|동|바람이 ~|A|1-1.csv
오2|103|감||B|1-1.csv
몸1|1157|명||A|
초콜릿|1565|명|chocolate|A|1-1.csv
감사하다5|104|형|感謝-|A|
얼굴1|121|명||A|2-1.csv
병4|1203|명|病|A|1-1.csv
빨리|105|부||A|1-1.csv
말다3||보||A|
골프|2633|명|golf|B|1-1.csv
