word,source_book
맵다,1-1.csv
자전거,1-1.csv
구,1-1.csv
음력,1-1.csv
해수욕장에,1-1.csv
어린이날,1-1.csv
그렇지만,1-1.csv
먹다,1-1.csv
잡수시다,1-1.csv
장,1-1.csv
달,1-1.csv
요즘,1-1.csv
떠나다,1-1.csv
출발하다,1-1.csv
비행기,1-1.csv
주,1-1.csv
오십,1-1.csv
잘,1-1.csv
가깝다,1-1.csv
젓가락,1-1.csv
삼,1-1.csv
호주,1-1.csv
싣다,1-1.csv
지하,1-1.csv
이름,1-1.csv
먼저,1-1.csv
놀이공원,1-1.csv
창문,1-1.csv
전주,1-1.csv
그릇,1-1.csv
짧다,1-1.csv
형제,1-1.csv
와,1-1.csv
농구장,1-1.csv
이메일,1-1.csv
시디,1-1.csv
육,1-1.csv
세수하다,1-1.csv
내리다,1-1.csv
배우,1-1.csv
달력,1-1.csv
아프다,1-1.csv
길을,1-1.csv
얼마나,1-1.csv
등산하다,1-1.csv
안녕히,1-1.csv
지하도,1-1.csv
여기요,1-1.csv
한복,1-1.csv
값,1-1.csv
배,1-1.csv
호텔,1-1.csv
듣다,1-1.csv
읽다,1-1.csv
상품권,1-1.csv
죄송합니다,1-1.csv
모르다,1-1.csv
마시다,1-1.csv
귀엽다,1-1.csv
근처,1-1.csv
코미디,1-1.csv
김치,1-1.csv
받다,1-1.csv
숙제,1-1.csv
일곱,1-1.csv
얇다,1-1.csv
맛없다,1-1.csv
회사,1-1.csv
다섯,1-1.csv
컴퓨터,1-1.csv
국가,1-1.csv
좁다,1-1.csv
점심,1-1.csv
치다,1-1.csv
학생증,1-1.csv
필통,1-1.csv
편의점,1-1.csv
어떻게,1-1.csv
두껍다,1-1.csv
천천히,1-1.csv
고속버스,1-1.csv
저기,1-1.csv
약속,1-1.csv
남동생,1-1.csv
멀다,1-1.csv
송이,1-1.csv
생활,1-1.csv
제,1-1.csv
오늘,1-1.csv
배가,1-1.csv
택시,1-1.csv
텔레비전,1-1.csv
쉬다,1-1.csv
더,1-1.csv
많이,1-1.csv
고향에,1-1.csv
층,1-1.csv
여동생,1-1.csv
일하다,1-1.csv
짬뽕,1-1.csv
날마다,1-1.csv
중국,1-1.csv
앞,1-1.csv
끝,1-1.csv
그럼,1-1.csv
가십시오,1-1.csv
극장,1-1.csv
영화표,1-1.csv
거기,1-1.csv
십만,1-1.csv
오세요,1-1.csv
약속을,1-1.csv
닫다,1-1.csv
양말,1-1.csv
끊다,1-1.csv
백,1-1.csv
여보세요,1-1.csv
며칠,1-1.csv
전화하다,1-1.csv
잡지,1-1.csv
초밥,1-1.csv
코엑스,1-1.csv
늦게,1-1.csv
밖,1-1.csv
어느,1-1.csv
구두,1-1.csv
종업원,1-1.csv
계시다,1-1.csv
민박,1-1.csv
우체국,1-1.csv
고르다,1-1.csv
바쁘다,1-1.csv
옷,1-1.csv
맛있다,1-1.csv
크리스마스,1-1.csv
요가,1-1.csv
가족,1-1.csv
문구점,1-1.csv
모레,1-1.csv
펜션,1-1.csv
김밥,1-1.csv
그것,1-1.csv
따뜻하다,1-1.csv
스키,1-1.csv
예매하다,1-1.csv
-쯤,1-1.csv
지하철,1-1.csv
꽃다발,1-1.csv
전화번호,1-1.csv
이게,1-1.csv
켤레,1-1.csv
하나(한),1-1.csv
잠깐만요,1-1.csv
쓰다,1-1.csv
보이다,1-1.csv
왜,1-1.csv
전화가,1-1.csv
지갑,1-1.csv
구경하다,1-1.csv
목요일,1-1.csv
그래요,1-1.csv
십,1-1.csv
운동,1-1.csv
쌀쌀하다,1-1.csv
아버지,1-1.csv
액션영화,1-1.csv
지키다,1-1.csv
뉴스,1-1.csv
재미없다,1-1.csv
자전거를,1-1.csv
부르다,1-1.csv
시장,1-1.csv
탁구,1-1.csv
요리사,1-1.csv
예약하다,1-1.csv
덥다,1-1.csv
갈아타다,1-1.csv
계절,1-1.csv
돕다,1-1.csv
이걸,1-1.csv
빠르다,1-1.csv
계획을,1-1.csv
깨끗하다,1-1.csv
눈싸움을,1-1.csv
물건,1-1.csv
만나다,1-1.csv
팔,1-1.csv
작다,1-1.csv
대학교,1-1.csv
그래서,1-1.csv
가족을,1-1.csv
신문,1-1.csv
비가,1-1.csv
오빠,1-1.csv
음식,1-1.csv
화장품,1-1.csv
맥주,1-1.csv
떡국,1-1.csv
번호,1-1.csv
꽃집,1-1.csv
이번,1-1.csv
드라마,1-1.csv
크리스마스트리,1-1.csv
시험을,1-1.csv
은행원,1-1.csv
잘하다,1-1.csv
테니스,1-1.csv
과일,1-1.csv
선글라스,1-1.csv
어머니,1-1.csv
무슨,1-1.csv
너무,1-1.csv
선선하다,1-1.csv
봄,1-1.csv
요리를,1-1.csv
인사드리다,1-1.csv
가게,1-1.csv
알다,1-1.csv
우리,1-1.csv
생신,1-1.csv
시끄럽다,1-1.csv
넥타이,1-1.csv
과자,1-1.csv
한가하다,1-1.csv
우산을,1-1.csv
운동하다,1-1.csv
감사합니다,1-1.csv
문자메시지를,1-1.csv
수영장,1-1.csv
무겁다,1-1.csv
원,1-1.csv
건너다,1-1.csv
타다,1-1.csv
같이,1-1.csv
삼성역,1-1.csv
통화,1-1.csv
정류장,1-1.csv
티셔츠,1-1.csv
조금,1-1.csv
아침,1-1.csv
간호사,1-1.csv
옆,1-1.csv
전화드리다,1-1.csv
뭐,1-1.csv
