ID|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2|English Sentence 2|Korean Sentence 3|English Sentence 3|Korean Sentence 4|English Sentence 4|Korean Sentence 5A|Korean Sentence 5B|English Sentence 5A|English Sentence 5B|Korean Sentence 6A|Korean Sentence 6B|English Sentence 6A|English Sentence 6B
3-6-1|-는데도/은데도/ㄴ데도|To express "even though" or "despite" something.|저는 날마다 운동을 하는데도 건강이 별로 좋아지지 않아요.|Even though I exercise every day, my health is not improving.|날씨가 추운데도 공원에 운동하는 사람들이 많아요.|Although the weather is cold, there are a lot of people exercising in the park.|평일인데도 극장에 사람들이 많았어요.|There were a lot of people at the theater, even though it was a weekday.|저는 주말에 푹 쉬었는데도 감기가 낫지 않아서 병원에 갔다 왔어요.|Even though I rested all weekend, my cold didn't get better so I went to the hospital.|가: 영수 씨, 요즘도 테니스 연습을 열심히 하고 있어요?|나: 네, 하지만 날마다 연습을 하는데도 실력이 늘지 않아요.|A: Yeongsu, do you still practice tennis diligently these days?|B: Yes, but even though I practice every day, my skills don't improve.|가: 오늘은 날씨가 정말 춥지요?|나: 네, 두꺼운 코트를 입고 있는데도 추워서 몸이 떨려요.|A: It's really cold today, isn't it?|B: Yes. Even though I'm wearing a thick coat, it's still cold so I'm shivering.
3-6-2|-기가 쉽다|Attached to a verb to mean "it is easy to..."|계절이 바뀌는 때에는 감기에 걸리기가 쉬워요.|It's easy to catch a cold when the seasons change.|유리 제품은 깨지기가 쉬워요.|Glass products are easily broken.|틀리기가 쉬운 문제를 공책에 써 놓았어요.|I wrote down the test questions that are easy to get wrong in my notebook.|비가 온 후라서 뛰면 넘어지기가 쉽겠어요. 천천히 갑시다.|It seems like it would be easy to slip and fall since it just rained, so let's take our time.|가: 요즘 회사 일 때문에 너무 바빠서 동창회 날짜를 잊어버렸어.|나: 바빠서 기억을 못했구나. 잊어버리기가 쉬운 날짜는 메모해 놓는 게 좋아.|A: I've been so busy at work lately that I forgot the date of our reunion.|B: Oh I see. You forgot because you were so busy. You should write down dates that are easy to forget.|가: 주말이라서 그런지 사람도 많고 길이 정말 복잡하네요.|나: 너무 복잡해서 길을 잃기가 쉽겠어요. 지도를 보면서 갑시다.|A: Perhaps it's because it's the weekend, but there are a lot of people and the streets are really crowded.|B: It seems like it'll be easy to get lost because it's so complicated. Let's look at the map and find our way there.
3-6-3|-을지도/ㄹ지도 모르다|To express uncertainty or possibility ("might" or "may").|날씨가 추운데 친구가 밖에서 기다릴지도 몰라서 서둘러서 나왔어요.|I rushed just in case my friend might be waiting outside in the cold.|오늘은 늦을지도 모르니까 기다리지 마세요.|Don't wait up, I might be late today.|그 공연은 인기가 많아서 늦게 가면 자리가 없을지도 몰라요.|That performance is so popular that if we go late, there may not be any seats left.|신청 기간이 끝났을지도 모르니까 다시 확인해 보세요.|The registration period may be over, so you should check again.|가: 올리비아 씨가 계속 전화를 안 받아요.|나: 자고 있을지도 몰라요.|A: Olivia isn't picking up her phone.|B: She might be sleeping.|가: 지금 학교에 가면 선생님을 만날 수 있을까?|나: 안 계실지도 모르니까 먼저 연락을 드려 보자.|A: If I go to school now, can I meet with the teacher?|B: She may not be there, so give her a call first.
3-6-4|-으려면/려면²|Used with verbs of change to plan for a future point in time ("In order for it to be...").|밥이 다 되려면 10분 남았다.|There are 10 minutes left until the rice is ready.|이나무에 꽃이 피려면 아직 멀었어요.|It's too soon for the flowers on these trees to bud.|집에 도착하려면 지금부터 1시간은 더 가야 돼요.|We need to go an hour from now to arrive at home.|다친 팔이 다 나으려면 앞으로 2주 더 치료를 받아야 한다.|In order for your arm to heal completely, you'll need to be treated two more weeks.|가: 회의 전에 잠깐 감기약을 사러 약국에 가고 싶은데 시간이 될까?|나: 회의가 시작되려면 30분 정도 더 있어야 하니까 빨리 갔다 와.|A: I want to stop by the pharmacist to pick up some cold medication before the meeting. Do you think I'll be able to make it?|B: You should hurry up since the meeting will start in about 30 minutes.|가: 저기요, 저희가 주문한 음식은 언제 나오나요?|나: 죄송합니다. 오늘 손님이 많아서 음식이 나오려면 좀 더 기다리셔야 합니다.|A: Excuse me, when will our food be ready?|B: I'm sorry. We have a lot of customers today, so you'll have to wait a little longer for your food to come out.
3-7-1|이라든가/라든가|Used when listing examples ("... or something like that").|비빔밥이라든가 삼계탕 같은 한국 음식이 건강에 좋아요.|Korean foods like bibimbap or samgyetang are good for the health.|아이들은 초콜릿이라든가 사탕 같은 단 맛이 나는 것을 좋아해요.|Children like sweets like chocolate or candy.|테니스라든가 배드민턴 같은 공을 가지고 하는 운동을 해보세요.|Try a sport you can play with a ball like tennis or badminton.|주말이라든가 공휴일 같은 쉬는 날에는 보통 가족들과 시간을 보내요.|I usually spend days that I have off like weekends or holidays with my family.|가: 일요일 오후에는 보통 뭘 하세요?|나: 빨래라든가 청소 같은 집안일을 해요.|A: What do you usually do on Sunday afternoon?|B: I usually do household chores like the laundry or cleaning.|가: 요즘 일 때문에 너무 스트레스를 받아요.|나: 노래방이라든가 놀이공원 같은 스트레스를 풀 수 있는 곳에 가는 게 어때요?|A: These days, I have so much stress from work.|B: Why don't you try going to places that can help you relieve stress like noraebangs or amusement parks?
3-7-2|-었을/았을/였을 것이다|To make a speculation about a past event ("must have," "probably").|지금 3시니까 영화가 끝났을 거예요.|It's 3 p.m, so the movie is probably over already.|봉봉 케이크는 인기가 많아서 벌써 다 팔렸을 거예요.|That type of cake is really popular. It's probably already all sold out.|나오 씨는 오늘 저녁에 친구와 약속이 있다고 했어요. 아마 식사를 했을 거예요.|Nao said she had an appointment with a friend tonight. I'm sure she already ate.|우진 씨가 도와주지 않았으면 에릭 씨 혼자 정말 힘들었을 거예요.|It would have been so hard for Eric on his own if Woojin hadn't helped out.|가: 메리 씨가 소포를 받았겠지요?|나: 보통 미국까지 나흘 정도 걸리잖아요. 아직 못 받았을 거예요.|A: Mary probably received the package, right?|B: It usually takes four days for a delivery to be made to the U.S. I don't think she received it yet.|가: 윤아 씨가 집에 도착했을까요?|나: 출발한 지 한 시간이나 지났으니까 집에 도착했을 거예요.|A: Do you think Yuna arrived at home?|B: It's been an hour since she left. I'm sure she arrived at home.
3-7-3|-나/은가/ㄴ가 보다|To make an assumption based on visual evidence ("It looks like...", "I guess...").|노라 씨에게 연락했는데 전화를 안 받아요. 벌써 자나 봐요.|I called Nora, but she wouldn't pick up. Maybe she's already sleeping.|주앙 씨가 오늘도 학교에 안 왔어요. 많이 아픈가 봐요.|Juang didn't come to school again today. He must be really sick.|유키 씨 옆에 있는 여자가 유키 씨와 똑같이 생겼어요. 동생인가 봐요.|The woman next to Yuki looks exactly like her. She must be her sister.|벌써 그 많은 음식을 다 먹었어? 정말 배가 고팠나 보네.|You've already finished all that food? You must have been very hungry.|가: 식당 앞에 사람들이 길게 줄을 서 있어요.|나: 이 식당 음식이 정말 맛있나 봐요.|A: There's a long line in front of that restaurant.|B: The food there must be really delicious.|가: 저 두 사람에게 무슨 일이 있었어?|나: 하루 종일 서로 말을 안 해. 싸웠나 봐.|A: Did something happen between them?|B: They haven't spoken to each other all day. They must have had an argument.
3-7-4|-는다고/ㄴ다고/다고 생각하다|To formally state one's opinion ("I think that...").|저는 리에 씨가 잘못했으니까 리에 씨가 먼저 사과해야 한다고 생각해요.|I think that Rie needs to apologize first because she's the one who made the mistake.|나는 기차로 가는 것보다 버스로 가는 게 더 낫다고 생각하는데 어때?|I think it's better to go by bus than train. What do you think?|회사를 선택할 때 제일 중요한 것은 회사의 분위기라고 생각합니다.|I think that the company culture is most important when choosing which company to work for.|나는 제임스가 거짓말을 했다고 생각해.|I think James was lying.|가: 열심히 공부하는데도 한국어 실력이 늘지 않아서 걱정이야.|나: 혼자 공부하는 것도 좋지만 한국 사람들과 많이 이야기하는 게 중요하다고 생각해.|A: I'm worried because my Korean isn't improving, even though I'm studying hard.|B: I think it's good to study alone, but it's more important that you talk to a lot of Korean people.|가: 중학생이 화장을 하는 것은 나이에 맞지 않기 때문에 하면 안 된다고 생각합니다.|나: 저는 화장을 하면 안 되는 나이는 없다고 생각합니다.|A: I don't think it's appropriate for middle school students to wear make-up because it's not fit for their age.|B: I don't think there's a set age you need to be in order to wear make-up.
3-8-1|-는 대신에|To indicate doing one thing "instead of" another, or "in return for" something.|주변이 시끄러워서 전화를 하는 대신에 문자 메시지를 보냈어요.|It was so noisy that instead of making a phone call, I sent a text message.|시간이 없어서 극장에 가는 대신에 집에서 영화를 봤어요.|I didn't have time, so instead of going to the theater, I watched a movie at home.|미선 씨가 제 일을 도와주는 대신에 저는 미선 씨에게 저녁을 사 드릴게요.|In return for you helping me with my work, Miseon, I'll buy you dinner.|오늘 우진 씨가 바빠서 우진 씨 대신에 제가 왔어요.|Woojin is busy today so I came here today instead of him.|가: 우진 씨, 일요일에도 출근하세요?|나: 네, 하지만 일요일에 일하는 대신에 월요일에는 쉽니다.|A: Woojin, do you go to work on Sundays, too?|B: Yes, but in return for working on Sundays, I get Mondays off.|가: 우리 언어 교환을 할까요?|나: 좋아요, 리에 씨가 저에게 일본말을 가르쳐 주는 대신에 저는 리에 씨에게 한국말을 가르쳐 드릴게요.|A: Should we do a language exchange?|B: Sounds good. In return for you teaching me Japanese, Rie, I'll teach you Korean.
3-8-2|-게 하다|The causative form, meaning "to make/let someone do something."|친구가 저를 화나게 했어요.|My friend made me angry.|어렸을 때 어머니가 식사 전에 꼭 손을 씻게 하셨어요.|When I was younger, my mom always made me wash my hands before meals.|아이들이 밖에 나가서 놀게 해 주세요.|Let the children play outside, please.|우리 회사는 건물 안에서 담배를 피우지 못하게 합니다.|Our company doesn't let employees smoke inside the building.|가: 손님, 기다리게 해서 죄송합니다.|나: 괜찮아요. 별로 오래 안 기다렸어요.|A: Sir, I'm sorry for making you wait.|B: No problem. I haven't been waiting that long.|가: 우리 아이가 게을러서 걱정이에요.|나: 아이가 스스로 방을 청소하게 하세요. 그럼 부지런해질 거예요.|A: I'm worried because my child is so lazy.|B: Make him clean his own room. Then, he will become more industrious.
3-8-3|-으면서도/면서도|To express a contrast between two actions or states by the same subject ("even while...").|미아 씨는 노래를 잘하면서도 못한다고 해요.|Mia is good at singing, but she says she isn't.|저는 과식이 건강에 안 좋은 줄 알면서도 항상 많이 먹어요.|I know that overeating is bad for the health, but I always eat a lot.|이 옷은 가벼우면서도 따뜻해서 추울 때 자주 입어요.|I often wear this in the winter because it's light but warm.|노라 씨는 다이어트 중이라서 밥을 안 먹었으면서도 먹었다고 말했어요.|Nora is dieting, so she said she had eaten when in fact, she hadn't.|가: 노라 씨, 언니하고 또 싸웠어요?|나: 싸우면 안 되는 줄 알면서도 화가 나서 참지 못했어요.|A: Nora, did you fight with your sister again?|B: I know I shouldn't, but I just can't keep my anger in.|가: 패티 씨가 이번 시험에서 92점을 받았다면서요?|나: 네, 그런데 패티 씨는 시험을 잘 봤으면서도 못 봤다고 하네요.|A: I heard Patty got a 92 on her test.|B: Yes, but even though she did well, she says she didn't.
3-8-4|-던데|To provide background information based on personal experience before giving advice, making a suggestion, or asking a question.|미선 씨, 민주 백화점에서 세일을 하던데 같이 갈래요?|Miseon, I saw Minju Department Store is having a sale. Would you like to go?|주말에는 놀이공원에 사람이 많던데 평일에 가세요.|There are a lot of people at the amusement park on the weekends, so you should go on a weekday.|교회 앞에 식당이 새로 생겼던데 오늘은 거기에 가자.|I saw there's a new restaurant in front of the church, so let's go there today.|또와 치킨이 참 맛있던데 노라 씨도 먹어 봤어요?|Ddowa Chicken is so delicious. Have you eaten there, Nora?|가: 설악산에는 등산하기가 좀 힘들던데 가보셨어요?|나: 아니요, 아직 설악산에는 안 가 봤어요.|A: Seoraksan is hard to climb. Have you been there?|B: No, I haven't been to Seoraksan yet.|가: 오랜만에 친구를 보기로 했는데 어디에서 만나면 좋을까?|나: 지하철 역 앞에 커피숍이 새로 생겼던데 거기에 가 봐.|A: I decided to see my friend for the first time in a long time. Where should I meet him?|B: There's a new coffee shop in front of the subway station. Give it a try.
3-9-1|-고서|To indicate a sequence of actions, emphasizing the first action is done before the second ("and then").|카드를 넣고서 비밀번호를 누르세요.|Put in your card and then input your PIN.|저는 컴퓨터를 켜고서 필요한 정보를 검색했어요.|I turned on the computer and searched for the necessary information.|어제 저는 친구들과 빨간색 옷을 입고서 축구 경기를 보러 갔어요.|My friends and I dressed in red yesterday and went to watch the soccer game.|저는 친구가 하는 이야기를 듣고서 깜짝 놀랐어요.|I was surprised upon hearing my friend's story.|가: 마리아 씨는 지금 뭘 해요?|나: 대학원을 졸업하고서 한국 회사에 들어갔대요.|A: What is Maria doing now?|B: She graduated from graduate school and joined a Korean company.|가: 미선 씨, 왜 그래요? 발이 아파요?|나: 네, 어제 구두를 신고서 오래 걸었더니 발이 아파요.|A: Miseon, what's the matter? Does your foot hurt?|B: Yes, I wore heels and walked for a long time yesterday, so my foot hurts.
3-9-2|-을/ㄹ 뻔하다|To express that something almost happened ("nearly," "almost").|길이 막혀서 약속 시간에 늦을 뻔했어요.|There was so much traffic that I was almost late to my appointment.|조금만 늦게 도착했으면 비행기를 못 탈 뻔했어요.|If I had arrived just a little later, I would have missed my plane.|오늘 중요한 회의가 있었는데 동료에게 연락을 안 했으면 큰일 날 뻔했어요.|There was an important meeting today and we would have been in big trouble if I hadn't called my colleague.|옆 사람과 이야기하면서 운전하다가 사고가 날 뻔했어요.|I almost got into a car accident talking to the passenger while driving.|가: 웨이 씨가 사고가 나서 병원에 입원했다면서요?|나: 네, 조금만 늦게 병원에 갔으면 큰일 날 뻔했대요.|A: I heard that Wei got into an accident and is in the hospital.|B: Yes, they say that if she had arrived at the hospital a few minutes late, it would have been dangerous.|가: 오늘 회의에 필요한 서류를 다 챙겼어요?|나: 아, 고마워요. 이야기해 주지 않았으면 서류를 놓고 갈 뻔했네요.|A: Do you have all the documents for the meeting today?|B: Oh, thanks. If you hadn't reminded me, I would have left them.
3-9-3|사동 (Causative)|The causative form, where the subject makes someone else perform an action.|올리비아 씨가 차를 마시려고 물을 끓였어요.|Olivia boiled the water to drink tea.|할머니가 아이를 침대에 눕혔어요.|The grandma laid the child on the bed.|레오 씨, 이 정보를 많은 사람들에게 알려 주세요.|Leo, you should make more people know this information.|저는 세탁소에 맡긴 옷을 찾으러 가야 해요.|I need to go and pick up the clothes I dropped off at the dry cleaners.|가: 내일 아침에 일찍 일어나야 한다고 했지?|나: 네, 혹시 제가 못 일어나면 깨워 주세요.|A: You said you need to wake up early in the morning tomorrow, right?|B: Yes. If I don't wake up, please wake me up.|가: 내일 오전 10시에 회의가 있다고 들었는데 맞아요?|나: 과장님께서 오전에 해야 할 일이 있다고 하셔서 회의 시간을 2시로 늦췄어요.|A: I heard that there's a meeting at 10 a.m. tomorrow. Is this true?|B: The Director said there's something he needs to take care of in the morning, so he delayed the meeting to 2 o'clock.
3-9-4|-으니까/니까²|To state that the second clause was discovered or realized as a result of the action in the first clause.|떡볶이를 먹어 보니까 생각보다 안 매웠어요.|After eating tteokbokki, I realized it wasn't as spicy as I had thought it would be.|냉장고를 여니까 아무것도 없었어요.|I opened the refrigerator to discover that there was nothing inside.|인터넷으로 주문한 옷을 입어 보니까 옷이 작았어요.|I tried on the clothes I ordered online only to find that they were too small.|아침에 일어나니까 10시였어요.|I woke up in the morning to find that it was 10 a.m.|가: 한국 생활이 어때요?|나: 혼자 살아 보니까 생각보다 재미있어요.|A: How is life in Korea?|B: After living alone, I've realized it's more fun than I had expected.|가: 어제 친구가 소개해 준 사람은 잘 만났어요?|나: 네, 만나 보니까 좋은 사람이었어요.|A: Did you meet the person your friend set you up with yesterday?|B: Yes, and he was a good person.
3-10-1|-는다는/ㄴ다는 것이|To express that something contrary to one's intention happened ("I was trying to... but...").|커피에 설탕을 넣는다는 것이 소금을 넣었어요.|I was trying to put sugar in my coffee but happened to put salt in.|시청으로 가는 지하철을 탄다는 것이 다른 쪽으로 가는 지하철을 탔어요.|I was trying to get on the subway train headed to City Hall but happened to go in the opposite direction.|친구에게 전화한다는 것이 깜빡 잊고 못했어요.|I planned to call my friend, but forgot and couldn't.|도와 드린다는 것이 일을 더 힘들게 만든 것 같아요.|I was trying to help, but I feel like I only made matters worse.|가: 소희야, 이게 누구 옷이니?|나: 어머, 제 옷을 챙긴다는 것이 미나 옷을 가지고 왔나 봐요.|A: Sohee, whose clothes are these?|B: Oh my. I was planning on bringing my clothes but brought Mina's clothes instead.|가: 도와 준다는 것이 일을 더 복잡하게 만든 것 같아요.|나: 그런 말씀 마세요. 정말 큰 도움이 됐어요.|A: I was only trying to help, but I think I ended up complicating matters.|B: Don't say that. You were a great help.
3-10-2|-고 말다|To express that something ended up happening, often regrettably or unintentionally ("ended up V-ing").|화가 나도 참아야 하는데 그만 화를 내고 말았어요.|I should have kept in my anger, but I happened to get angry.|정희 씨는 너무 졸려서 씻지도 못하고 잠이 들고 말았어요.|Jeonghee was so tired that she fell asleep without even washing up.|민수 씨는 공항에 늦게 도착해서 비행기를 못 타고 말았어요.|Minsu arrived late at the airport and couldn't get on the plane.|의사가 최선을 다했지만 환자는 죽고 말았어요.|The doctor did the best she could, but the patient ended up dying.|가: 노라 씨가 왜 저렇게 화가 났어요?|나: 제가 친구들과 이야기하다가 실수로 노라 씨의 비밀을 말하고 말았어요.|A: Why is Nora so angry?|B: I was talking with my friends and happened to share Nora's secret.|가: 아까 왜 시험 시간에 늦었어요?|나: 어제 너무 늦게 자서 아침에 늦잠을 자고 말았어요.|A: Why were you late to the test earlier?|B: I slept late last night and overslept this morning.
3-10-3|-거든요|Used at the end of a sentence to provide a reason or explanation for a previous statement.|누리 씨는 학교에서 인기가 많아요. 노래를 아주 잘하거든요.|Nuri is very popular at school because she is a good singer.|저는 보통 대한마트에서 쇼핑을 해요. 물건값이 싸거든요.|I usually shop at Daehan Mart because the products are cheaper there.|오늘은 정말 쉬고 싶어요. 몸살 감기가 심하거든요.|I really just want to rest today because I have a terrible cold and body aches.|이번 주말에는 못 만나요. 친구들과 놀이공원에 가기로 했거든요.|I can't make it this weekend because I'm going to the amusement park with my friend.|가: 케빈 씨, 무슨 일이 있어요?|나: 여자친구가 화가 많이 났어요. 제가 약속을 어겼거든요.|A: Is something the matter, Kevin?|B: My girlfriend is really mad because I broke a promise.|가: 미선 씨, 오늘 아주 피곤해 보여요. 어디 아파요?|나: 어제 2시간밖에 못 잤거든요. 빨리 집에 가서 쉬고 싶어요.|A: Miseon, you look so tired today. Are you feeling unwell?|B: It's because I only slept two hours last night. I want to quickly go home and get some rest.
3-10-4|-을까/ㄹ까 봐|To express worry or concern that something might happen ("I'm afraid that...").|비가 올까 봐 우산을 가지고 왔어요.|Just in case it rains, I brought an umbrella.|지각할까 봐 택시를 타고 왔어요.|I was afraid I would be late, so I took a cab.|친구들이 놀릴까 봐 말하지 않았어요.|I was afraid my friends would make fun of me, so I didn't say anything.|버스가 출발했을까 봐 걱정했어요.|I was worried that the bus would leave.|가: 줄리 씨, 왜 이렇게 일찍 왔어요?|나: 길이 막힐까 봐 오늘은 집에서 일찍 출발했어요.|A: Why did you come so early, Julie?|B: I was afraid there would be traffic, so I left early from home today.|가: 은하 씨, 왜 그렇게 천천히 걸어가세요?|나: 넘어질까 봐 조심하는 거예요.|A: Eunha, why are you walking so slowly?|B: I'm afraid I might fall, so I'm being careful.
