ID|Grammar Point|Explanation|Korean Sentence 1|English Sentence 1|Korean Sentence 2|English Sentence 2|Korean Sentence 3|English Sentence 3|Korean Sentence 4|English Sentence 4|Korean Sentence 5A|Korean Sentence 5B|English Sentence 5A|English Sentence 5B|Korean Sentence 6A|Korean Sentence 6B|English Sentence 6A|English Sentence 6B
3-3-3|피동 (Passive Voice)|The passive voice, where the subject is acted upon.|올리비아 씨 집에서는 학교가 잘 보여요.|The school can be seen from Olivia's house.|도둑이 경찰에게 잡혔어요.|The thieves were caught by the police.|미라 씨와 통화하고 있었는데 갑자기 전화가 끊겼어요.|I was talking to Mira on the phone when the phone suddenly got cut off.|핸드폰이 고장난 것 같아요. 버튼을 눌러도 켜지지 않아요.|I think the cell phone is broken. Even if I push the button, it isn't being turned on.|가: 제 이야기가 잘 들리세요?|나: 잘 안 들려요. 좀 더 크게 말씀해 주세요.|A: Can you hear me?|B: Your voice can't be heard clearly. Please speak louder.|가: 미라야, 공책이 바뀌었어. 여기 이게 네 공책이야.|나: 그래? 공책이 똑같아서 바뀐 줄 몰랐어.|A: Mira, our notebooks were switched. Here's your notebook.|B: Really? The notebooks are the same, so I didn't even know they were switched.
3-3-4|-어/아/여 있다|To indicate the state that remains after an action has been completed.|고양이 밥 그릇이 비어 있네요.|The cat's food bowl is empty.|책상 위에 교과서가 놓여 있었어요.|The textbook was on the desk.|가방에 무엇이 들어 있었어요?|What was in the bag?|미선 씨 방에 불이 켜져 있네요.|The lights are on in Miseon's room.|가: 미라 씨, 집이 좀 추워요.|나: 창문이 열려 있는데 닫을까요?|A: Mira, your house is a bit cold.|B: The windows are open. Should I close them?|가: 윤아야, 내 모자가 어디에 있지?|나: 저기 옷걸이에 걸려 있어.|A: Yuna, where's my hat?|B: It's hanging on the coat rack over there.
3-4-1|-을지/ㄹ지|To express thoughts about choosing between options ("whether to... or...").|저는 친구 결혼식 때 원피스를 입을지 바지를 입을지 생각 중이에요.|I'm still deciding whether to wear a dress or slacks to my friend's wedding.|저는 기숙사에 살지 하숙집에 살지 아직 결정하지 못했어요.|I haven't decided yet whether to live in the dormitory or boarding house.|이번 학기에 역사 수업을 들을지 문화 수업을 들을지 생각하고 있어요.|I'm still debating whether to take the history class or the culture class this semester.|다음 방학 때 고향에 갈지 여행을 갈지 아직 잘 모르겠어요.|I'm not sure whether to visit my hometown or travel during the next vacation.|가: 링링 씨, 졸업 후에 뭘 할 거예요?|나: 대학원에 갈지 일을 할지 아직 결정하지 못했어요.|A: Ling Ling, what are you going to do after you graduate?|B: I haven't decided yet whether to go to graduate school or get a job.|가: 마리아 씨, 여행을 가면 어디에서 잘 거예요?|나: 호텔에서 잘지 친구 집에서 잘지 생각 중이에요.|A: Maria, if you go on vacation, where do you plan to stay?|B: I'm still debating whether to stay at a hotel or at my friend's house.
3-4-2|-어/아/여 놓다|To indicate an action is completed and its result is being maintained for later use.|시원하게 마시려고 냉장고에 음료수를 넣어 놓았어요.|I've put the beverage in the refrigerator so I can drink it cold.|내일 아침에는 시간이 없을 것 같아서 가방을 미리 싸 놓았어요.|I've packed my bags early since I don't think I'll have time tomorrow morning.|휴가철에 여행을 가려면 미리 기차표를 예매해 놓아야 해요.|You have to buy your train ticket in advance in order to travel during the vacation season.|이제 요리를 시작할 테니까 재료들을 꺼내 놓으세요.|Please have your ingredients out since we will begin cooking.|가: 내일이 노라 씨 생일인데 케이크는 준비했어요?|나: 네, 제가 만들어 놓았어요.|A: Tomorrow is Nora's birthday. Have you prepared the cake?|B: Yes, I've baked it.|가: 저한테 전화 온 거 없어요?|나: 책상 위를 보세요. 제가 메모해 놓았어요.|A: Have there been any calls for me?|B: Look on your desk. I've made memos of your calls.
3-4-3|-는대요/ㄴ대요/대요|The shortened form for reported speech ("He/she said...").|에릭 씨가 다음 달에 고향에 돌아간대요.|Eric says he's going to return to his hometown next month.|고향 친구한테서 어제 전화가 왔는데 저에게 잘 지내고 있냬요.|I received a call from my hometown friend and he asked me if I'm doing well.|윤아 씨가 내일 날씨가 추우니까 따뜻한 옷을 입고 오래요.|Yuna said to dress warmly tomorrow since it's going to be cold.|친구가 주말에 시간이 있으면 같이 놀러 가재.|My friend said she wants to spend time with me on the weekend if I have time.|가: 유키 씨가 왜 아직 안 오지요?|나: 아까 연락이 왔는데 조금 늦는대요.|A: Why isn't Yuki here yet?|B: She called a little while ago and said she was going to be a bit late.|가: 조금 전에 리타오가 뭐라고 했어?|나: 오늘 점심을 같이 먹재.|A: What did Letao say a minute ago?|B: He wants to eat lunch together today.
3-4-4|아무|Used with ~나/나 to mean "anyone," "anything," "anytime," etc.|여기는 아무나 들어갈 수 있어요?|Can anyone come in here?|이번 주는 한가하니까 아무 때나 연락하세요.|I'm not busy this week so you can call anytime.|목이 마르니까 마실 것이 있으면 아무거나 주세요.|I'm so thirsty. If you have anything to drink, please give it to me.|검은색 구두는 아무 옷에나 다 잘 어울려요.|Black shoes go well with any outfit.|가: 내일 파티에 무슨 옷을 입고 가야 돼요?|나: 중요한 자리가 아니니까 아무 옷이나 입어도 돼요.|A: What do I need to wear to tomorrow's party?|B: It's not an important event, so just wear anything.|가: 오늘 한 귀걸이가 정말 예쁘다. 학교 앞에서 샀어?|나: 아니, 이건 디자이너가 직접 만든 거라서 아무데서나 팔지 않아.|A: Your earrings today are really pretty. Did you buy them in front of the school?|B: No, a designer hand made them, so they don't just sell them anywhere.
3-5-1|-었더니/았더니/였더니|To state a realization or outcome resulting from a past action.|제가 오랜만에 고향에 갔더니 친구들이 모두 떠나고 없었어요.|Because I visited my hometown for the first time in a long time, all my friends had all left.|오늘 아침에 음식을 급하게 먹었더니 소화가 잘 안 돼요.|Because I ate so quickly this morning, I'm having a hard time digesting the food.|제가 노래를 불러 줬더니 여자친구가 행복해했어요.|My girlfriend was happy because I sang a song for her.|제가 하늘 씨한테 물어봤더니 하늘 씨도 모른대요.|I asked Haneul, but he said he didn't know either.|가: 에릭 씨, 어디 아프세요?|나: 며칠 과로했더니 병이 났어요.|A: Eric, are you feeling sick?|B: I got sick because I overworked myself for a few days.|가: 링링 씨, 이사할 때 도와줄 사람은 있어요?|나: 네, 제가 다음 주말에 이사한다고 했더니 친구들이 도와주겠대요.|A: Ling Ling, is anyone helping you during the move?|B: Yes. I said that I was moving next weekend, so my friends said they would help me.
3-5-2|-잖아요|To remind or confirm something the listener already knows ("As you know...").|잊어버렸어요? 제가 아까 말했잖아요.|Have you forgotten? I told you earlier.|레오 씨가 요리를 잘하잖아요.|(As you know) Leo is a good cook.|우리 학교 시험이 좀 어렵잖아요.|(As you know) Our school's exams are a bit hard.|내일부터 연휴잖아요.|(As you know) Starting tomorrow, we have consecutive holidays.|가: 걱정했는데 시험을 잘 봤어.|나: 내가 걱정하지 말라고 했잖아.|A: I was worried, but I did well on the exam.|B: Didn't I say you had nothing to worry about?|가: 왜 이렇게 열심히 공부해요?|나: 다음 주에 시험이 있잖아요.|A: Why are you studying so diligently?|B: (As you know) There's a test next week.
3-5-3|-고 나서|To indicate that one action happens "after" another is completed.|저는 어제 영화를 보고 나서 늦게 저녁을 먹었어요.|After watching a movie yesterday, I ate a late dinner.|미선 씨, 우리 밥 먹고 나서 커피를 마시러 학교 앞 커피숍에 갈까요?|Miseon, should we go to the coffee shop in front of the school to get a cup of coffee after we eat?|저는 책을 읽고 나서 영화를 보니까 이해하기가 쉬웠어요.|It was easy for me to understand the story because I watched the movie after reading the book.|노라가 가고 나서 올리비아가 왔어요.|Olivia arrived after Nora left.|가: 미즈키, 우리 영화부터 보고 나서 밥을 먹을까?|나: 나는 지금 배가 많이 고파. 먼저 밥부터 먹자.|A: Mizuki, why don't we eat after watching the movie?|B: I'm so hungry right now. Let's eat first.|가: 엄마, 저 한 시간만 게임해도 돼요?|나: 숙제 먼저 다 하고 나서 게임해라.|A: Mom, can I play games for just one hour?|B: Play your game after you finish your homework.
3-5-4|-는다면서요/ㄴ다면서요/다면서요?|To ask for confirmation about something you heard ("Is it true that...?").|요즘 이튼 씨 회사에서 드라마를 찍는다면서요?|Is it true that a drama series is being filmed at your company these days, Ethan?|서울 타워에서 보이는 경치가 그렇게 멋있다면서요?|Is it true that the view from Seoul Tower is amazing?|영화 '그날'에 나오는 남자 배우가 우리 학교 학생이라면서요?|Is it true that the actor who comes out in the movie "That Day" is a student from our school?|미키 씨, 어렸을 때 한국에서 살았다면서요?|Miki, is it true that you lived in Korea when you were younger?|가: 우리 학교에 '남자친구들'이 공연하러 온다면서요?|나: 네, 저도 아까 들었어요. 정말 기대가 돼요.|A: Is it true that "Boyfriends" is coming to perform at our school?|B: Yes, I heard that, too. I'm so excited.|가: 왕명 씨, 이번 방학에 고향에 간다면서요?|나: 네, 어떻게 아셨어요?|A: Wang Ming, is it true that you're going to visit your hometown during the break?|B: Yes, how did you know?
